scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 54, 1, 0, 55, 1, 54, 1, 0, 55, 1, 54, 1, 0, 55, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 55, 1, 0, 56, 1, 56, 1, 0, 57, 1, 56, 1, 0, 57, 1, 57, 1, 0, 58, 1, 57, 1, 0, 58, 34, 64, 1, 0, 65,56, 56
1, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 54, 1, 0, 56, 1, 56, 1, 0, 57, 1, 56, 1, 0, 57, 1, 56, 1, 0, 57,56, 56
8, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68, 1, 65, 2, 0, 68,68, 68
16, 1, 17, 1, 0, 18, 1, 17, 1, 0, 18, 1, 17, 1, 0, 19, 1, 18, 1, 0, 19, 1, 18, 1, 0, 19, 1, 18, 1, 0, 20, 1, 18, 1, 0, 20, 1, 19, 1, 0, 20, 1, 19, 1, 0, 20, 1, 19, 1, 0, 21, 1, 19, 1, 0, 21, 1, 20, 1, 0, 21,20, 20
32, 2, 76, 1, 0, 77, 2, 76, 1, 0, 77, 2, 77, 1, 0, 78, 2, 77, 1, 0, 78, 2, 77, 1, 0, 78, 2, 77, 1, 0, 78, 2, 77, 1, 0, 79, 2, 78, 1, 0, 79, 2, 78, 1, 0, 79, 2, 79, 1, 0, 80, 2, 79, 1, 0, 80, 2, 79, 1, 0, 80,79, 79
64, 4, 55, 1, 0, 56, 4, 96, 1, 0, 98, 4, 97, 1, 0, 98, 4, 97, 1, 0, 98, 4, 97, 1, 0, 98, 4, 98, 1, 0, 99, 4, 98, 1, 0, 99, 4, 99, 1, 0, 100, 4, 100, 1, 0, 101, 4, 101, 1, 0, 102, 4, 101, 1, 0, 102, 4, 103, 1, 0, 104,100, 99
128, 6, 51, 1, 0, 52, 6, 51, 1, 0, 52, 6, 51, 1, 0, 53, 6, 52, 1, 0, 53, 6, 52, 1, 0, 53, 6, 53, 1, 0, 55, 6, 54, 1, 0, 55, 6, 55, 1, 0, 56, 6, 55, 1, 0, 56, 6, 55, 1, 0, 57, 6, 57, 1, 0, 58, 6, 137, 1, 0, 139,55, 55
256, 12, 15, 2, 0, 17, 13, 17, 2, 0, 19, 13, 17, 2, 0, 20, 13, 29, 2, 0, 31, 13, 78, 2, 0, 80, 13, 78, 2, 0, 81, 13, 83, 2, 0, 86, 13, 83, 2, 0, 86, 13, 85, 2, 0, 87, 13, 86, 2, 0, 88, 13, 91, 2, 0, 93, 13, 212, 2, 0, 214,67, 86
512, 22, 37, 0, 0, 37, 22, 42, 0, 0, 42, 22, 45, 0, 0, 45, 26, 93, 0, 0, 93, 26, 105, 0, 0, 105, 26, 111, 0, 0, 111, 26, 112, 0, 0, 112, 26, 134, 0, 0, 134, 26, 137, 0, 0, 137, 26, 142, 0, 0, 142, 22, 238, 0, 0, 238, 26, 355, 0, 0, 355,116, 112
1024, 46, 96, 0, 0, 96, 46, 105, 0, 0, 105, 51, 299, 0, 0, 299, 46, 419, 0, 0, 419, 46, 424, 0, 0, 424, 46, 438, 0, 0, 438, 46, 468, 0, 0, 468, 46, 495, 0, 0, 495, 46, 525, 0, 0, 525, 46, 531, 0, 0, 531, 46, 557, 0, 0, 557, 52, 660, 0, 0, 660,426, 468
2048, 95, 211, 0, 0, 211, 95, 260, 0, 0, 260, 95, 325, 0, 0, 325, 95, 334, 0, 0, 334, 95, 340, 0, 0, 340, 95, 349, 0, 0, 349, 105, 361, 0, 0, 361, 95, 381, 0, 0, 381, 95, 411, 0, 0, 411, 95, 425, 0, 0, 425, 95, 437, 0, 0, 437, 107, 1343, 0, 0, 1343,362, 361
4096, 202, 329, 0, 0, 329, 201, 669, 0, 0, 669, 201, 693, 0, 0, 693, 204, 727, 0, 0, 727, 201, 741, 0, 0, 741, 201, 750, 0, 0, 750, 202, 776, 0, 0, 776, 202, 842, 0, 0, 842, 202, 849, 0, 0, 849, 205, 889, 0, 0, 889, 204, 910, 0, 0, 910, 177, 2954, 0, 0, 2954,785, 776
8192, 409, 688, 10, 0, 699, 408, 1169, 10, 0, 1179, 409, 1195, 10, 0, 1205, 411, 1198, 10, 0, 1209, 409, 1206, 10, 0, 1216, 409, 1258, 10, 0, 1268, 408, 1268, 10, 0, 1278, 409, 1342, 10, 0, 1352, 409, 1364, 10, 0, 1375, 409, 1460, 10, 0, 1471, 409, 1531, 10, 0, 1542, 346, 5860, 10, 0, 5871,1310, 1278
