scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 2, 0, 2, 0, 2, 2, 0, 3, 0, 3, 2, 0, 3, 0, 3, 3, 0, 3, 0, 3, 1, 0, 3, 0, 3, 1, 0, 3, 0, 3, 1, 0, 3, 0, 3, 19, 0, 10, 0, 10,3, 3
1, 1, 0, 2, 0, 2, 2, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 2, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2, 1, 0, 2, 0, 2,2, 2
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 0
4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0,0, 0
8, 6, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 25, 0, 25, 5, 0, 26, 0, 26,25, 25
16, 21, 0, 53, 0, 53, 21, 0, 53, 0, 53, 21, 0, 53, 0, 53, 21, 0, 53, 0, 53, 21, 0, 53, 0, 53, 21, 0, 53, 0, 53, 21, 0, 54, 0, 54, 21, 0, 54, 0, 54, 21, 0, 54, 0, 54, 21, 0, 54, 0, 54, 21, 0, 54, 0, 54, 21, 0, 54, 0, 54,54, 54
32, 110, 0, 65, 0, 65, 110, 0, 65, 0, 65, 111, 0, 65, 0, 65, 110, 0, 65, 0, 65, 110, 0, 65, 0, 65, 110, 0, 65, 0, 65, 110, 0, 65, 0, 65, 110, 0, 65, 0, 65, 110, 0, 65, 0, 65, 110, 0, 65, 0, 65, 110, 0, 65, 0, 65, 110, 0, 65, 0, 65,65, 65
64, 627, 0, 85, 0, 85, 654, 0, 88, 0, 88, 644, 0, 89, 0, 89, 640, 0, 89, 0, 89, 644, 0, 89, 0, 89, 641, 0, 89, 0, 89, 644, 0, 89, 0, 89, 641, 0, 89, 0, 89, 641, 0, 89, 0, 89, 641, 0, 89, 0, 89, 641, 0, 89, 0, 89, 641, 0, 89, 0, 89,89, 89
