scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 8, 1, 0, 9, 1, 9, 1, 0, 10, 1, 9, 1, 0, 10, 1, 10, 1, 0, 11, 1, 10, 1, 0, 11, 1, 10, 1, 0, 12, 1, 10, 1, 0, 12, 1, 11, 1, 0, 12, 1, 11, 1, 0, 13, 1, 12, 1, 0, 13, 2, 12, 1, 0, 13, 34, 14, 1, 0, 16,12, 12
1, 1, 8, 1, 0, 9, 1, 8, 1, 0, 9, 1, 8, 1, 0, 9, 1, 9, 1, 0, 10, 1, 10, 1, 0, 11, 1, 10, 1, 0, 11, 1, 10, 1, 0, 11, 1, 10, 1, 0, 11, 1, 11, 1, 0, 12, 1, 11, 1, 0, 12, 1, 11, 1, 0, 12, 1, 12, 1, 0, 13,11, 11
2, 1, 61, 0, 0, 61, 1, 62, 0, 0, 62, 1, 62, 0, 0, 62, 1, 62, 0, 0, 62, 1, 62, 0, 0, 62, 1, 62, 0, 0, 62, 1, 62, 0, 0, 62, 1, 62, 1, 0, 63, 1, 62, 1, 0, 64, 1, 62, 1, 0, 64, 1, 62, 1, 0, 64, 1, 62, 1, 0, 64,63, 62
4, 1, 16, 0, 0, 16, 1, 17, 0, 0, 17, 1, 17, 0, 0, 17, 1, 18, 0, 0, 18, 1, 18, 0, 0, 18, 1, 18, 0, 0, 18, 1, 18, 0, 0, 18, 1, 18, 0, 0, 18, 1, 18, 0, 0, 18, 1, 18, 0, 0, 18, 1, 18, 0, 0, 18, 1, 18, 0, 0, 18,18, 18
8, 4, 38, 1, 0, 40, 4, 40, 1, 0, 42, 4, 49, 1, 0, 51, 4, 50, 1, 0, 51, 4, 50, 1, 0, 51, 4, 50, 1, 0, 51, 4, 50, 1, 0, 52, 4, 50, 1, 0, 52, 4, 51, 1, 0, 52, 4, 51, 1, 0, 52, 4, 51, 1, 0, 53, 4, 52, 1, 0, 53,51, 52
16, 19, 135, 0, 0, 135, 19, 140, 0, 0, 140, 19, 141, 0, 0, 141, 21, 141, 0, 0, 141, 19, 142, 0, 0, 142, 19, 142, 0, 0, 142, 19, 143, 0, 0, 143, 19, 145, 0, 0, 145, 19, 147, 0, 0, 147, 20, 167, 0, 0, 167, 20, 169, 0, 0, 169, 21, 197, 0, 0, 197,148, 143
32, 110, 462, 0, 0, 462, 131, 731, 0, 0, 731, 129, 756, 0, 0, 756, 131, 761, 0, 0, 761, 131, 869, 0, 0, 869, 131, 875, 0, 0, 875, 131, 881, 0, 0, 881, 131, 883, 0, 0, 883, 130, 883, 0, 0, 883, 130, 885, 0, 0, 885, 131, 887, 0, 0, 887, 131, 921, 0, 0, 921,841, 881
64, 627, 2256, 0, 0, 2256, 801, 2265, 0, 0, 2265, 802, 2593, 0, 0, 2593, 802, 2826, 0, 0, 2826, 802, 3008, 0, 0, 3008, 803, 3013, 0, 0, 3013, 803, 3013, 0, 0, 3013, 802, 3019, 0, 0, 3019, 805, 3021, 0, 0, 3021, 802, 3027, 0, 0, 3027, 803, 3030, 0, 0, 3030, 802, 3042, 0, 0, 3042,2882, 3013
