scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 14, 4, 18, 1, 0, 19,13, 13
1, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13,13, 13
8, 7, 105, 0, 0, 105, 7, 110, 0, 0, 110, 7, 111, 0, 0, 111, 7, 111, 0, 0, 111, 7, 112, 0, 0, 112, 7, 113, 0, 0, 113, 7, 113, 0, 0, 113, 7, 114, 0, 0, 114, 7, 119, 0, 0, 119, 7, 119, 0, 0, 119, 7, 127, 0, 0, 127, 7, 128, 0, 0, 128,115, 113
16, 13, 213, 1, 0, 214, 13, 213, 1, 0, 214, 13, 213, 1, 0, 214, 13, 213, 1, 0, 214, 13, 214, 1, 0, 215, 13, 214, 1, 0, 215, 13, 214, 1, 0, 215, 13, 215, 1, 0, 216, 13, 216, 1, 0, 217, 13, 219, 1, 0, 220, 13, 219, 1, 0, 220, 13, 238, 1, 0, 239,216, 215
32, 29, 678, 0, 0, 678, 29, 691, 0, 0, 691, 29, 694, 0, 0, 694, 29, 695, 0, 0, 695, 29, 697, 0, 0, 697, 29, 698, 0, 0, 698, 29, 699, 0, 0, 699, 29, 700, 0, 0, 700, 29, 703, 0, 0, 703, 29, 704, 0, 0, 704, 29, 705, 0, 0, 705, 29, 709, 0, 0, 709,698, 699
64, 52, 1610, 2, 0, 1612, 52, 1670, 2, 0, 1672, 52, 1670, 2, 0, 1672, 52, 1673, 2, 0, 1675, 52, 1675, 2, 0, 1677, 52, 1678, 2, 0, 1680, 52, 1680, 2, 0, 1682, 52, 1680, 2, 0, 1682, 52, 1681, 2, 0, 1683, 52, 1687, 2, 0, 1689, 52, 1692, 2, 0, 1694, 52, 1694, 2, 0, 1696,1681, 1682
128, 100, 5898, 1, 0, 5899, 100, 5898, 1, 0, 5899, 101, 5898, 1, 0, 5899, 100, 5898, 1, 0, 5899, 100, 5898, 1, 0, 5899, 101, 5898, 1, 0, 5899, 100, 5898, 1, 0, 5899, 101, 5898, 1, 0, 5899, 101, 5898, 1, 0, 5899, 101, 5899, 1, 0, 5900, 105, 5933, 1, 0, 5934, 119, 6331, 1, 0, 6332,5903, 5899
