scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 1, 1, 0, 0, 1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3,3, 3
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2,2, 2
2, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 4, 0, 0, 4, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6, 0, 6, 0, 0, 6,5, 6
4, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 6, 0, 0, 6,5, 5
8, 2, 5, 0, 0, 5, 2, 6, 0, 0, 6, 2, 6, 0, 0, 6, 2, 6, 0, 0, 6, 3, 7, 0, 0, 7, 3, 7, 0, 0, 7, 2, 7, 0, 0, 7, 2, 9, 0, 0, 9, 2, 19, 0, 0, 19, 3, 19, 0, 0, 19, 2, 19, 0, 0, 19, 2, 19, 0, 0, 19,10, 7
16, 13, 24, 0, 0, 24, 13, 24, 0, 0, 24, 13, 24, 0, 0, 24, 13, 25, 0, 0, 25, 13, 29, 0, 0, 29, 13, 29, 0, 0, 29, 13, 29, 0, 0, 29, 13, 29, 0, 0, 29, 13, 29, 0, 0, 29, 13, 29, 0, 0, 29, 13, 29, 0, 0, 29, 9, 31, 0, 0, 31,28, 29
32, 38, 27, 0, 0, 27, 40, 29, 0, 0, 29, 65, 38, 0, 0, 38, 42, 41, 0, 0, 41, 43, 42, 0, 0, 42, 40, 42, 0, 0, 42, 41, 42, 0, 0, 42, 38, 42, 0, 0, 42, 42, 44, 0, 0, 44, 39, 44, 0, 0, 44, 39, 48, 0, 0, 48, 41, 51, 0, 0, 51,41, 42
64, 382, 78, 0, 0, 78, 329, 95, 0, 0, 95, 326, 96, 0, 0, 96, 389, 100, 0, 0, 100, 510, 103, 0, 0, 103, 400, 105, 0, 0, 105, 391, 105, 0, 0, 105, 355, 108, 0, 0, 108, 351, 108, 0, 0, 108, 359, 111, 0, 0, 111, 366, 111, 0, 0, 111, 377, 142, 0, 0, 142,104, 105
