scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 2, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 7, 0, 0, 7,4, 4
1, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4,4, 4
8, 6, 29, 0, 0, 29, 6, 30, 0, 0, 30, 6, 31, 0, 0, 31, 6, 31, 0, 0, 31, 6, 31, 0, 0, 31, 6, 31, 0, 0, 31, 6, 31, 0, 0, 31, 6, 31, 0, 0, 31, 6, 33, 0, 0, 33, 6, 33, 0, 0, 33, 6, 34, 0, 0, 34, 6, 43, 0, 0, 43,32, 31
16, 12, 43, 0, 0, 43, 12, 43, 0, 0, 43, 12, 43, 0, 0, 43, 12, 43, 0, 0, 43, 12, 43, 0, 0, 43, 12, 43, 0, 0, 43, 12, 43, 0, 0, 43, 12, 43, 0, 0, 43, 12, 46, 0, 0, 46, 12, 55, 0, 0, 55, 12, 56, 0, 0, 56, 10, 58, 0, 0, 58,46, 43
32, 26, 76, 0, 0, 76, 28, 82, 0, 0, 82, 26, 87, 0, 0, 87, 26, 88, 0, 0, 88, 26, 91, 0, 0, 91, 26, 92, 0, 0, 92, 26, 92, 0, 0, 92, 26, 95, 0, 0, 95, 26, 129, 0, 0, 129, 26, 131, 0, 0, 131, 26, 132, 0, 0, 132, 26, 136, 0, 0, 136,102, 92
64, 52, 147, 0, 0, 147, 52, 148, 0, 0, 148, 52, 149, 0, 0, 149, 52, 150, 0, 0, 150, 52, 152, 0, 0, 152, 52, 185, 0, 0, 185, 52, 192, 0, 0, 192, 52, 197, 0, 0, 197, 52, 202, 0, 0, 202, 52, 208, 0, 0, 208, 50, 216, 0, 0, 216, 52, 223, 0, 0, 223,180, 192
128, 119, 316, 0, 0, 316, 119, 324, 0, 0, 324, 119, 338, 0, 0, 338, 119, 339, 0, 0, 339, 119, 350, 0, 0, 350, 119, 351, 0, 0, 351, 119, 358, 0, 0, 358, 119, 361, 0, 0, 361, 107, 422, 0, 0, 422, 119, 508, 0, 0, 508, 119, 540, 0, 0, 540, 119, 549, 0, 0, 549,389, 358
256, 216, 567, 0, 0, 567, 216, 570, 0, 0, 570, 216, 573, 0, 0, 573, 216, 575, 0, 0, 575, 216, 587, 0, 0, 587, 216, 594, 0, 0, 594, 216, 599, 0, 0, 599, 216, 603, 0, 0, 603, 216, 605, 0, 0, 605, 216, 605, 0, 0, 605, 216, 610, 0, 0, 610, 184, 614, 0, 0, 614,592, 599
