scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 5, 0, 0, 5, 4, 9, 0, 0, 9,4, 4
1, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4, 0, 4, 0, 0, 4,4, 4
2, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11,11, 11
4, 0, 12, 0, 0, 12, 1, 12, 0, 0, 12, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 0, 13, 0, 0, 13, 1, 14, 0, 0, 14, 1, 16, 0, 0, 16,13, 13
8, 2, 80, 0, 0, 80, 3, 84, 0, 0, 84, 3, 85, 0, 0, 85, 3, 85, 0, 0, 85, 3, 85, 0, 0, 85, 3, 86, 0, 0, 86, 3, 86, 0, 0, 86, 3, 87, 0, 0, 87, 3, 87, 0, 0, 87, 3, 87, 0, 0, 87, 3, 87, 0, 0, 87, 2, 89, 0, 0, 89,85, 86
16, 13, 281, 0, 0, 281, 13, 281, 0, 0, 281, 13, 281, 0, 0, 281, 13, 281, 0, 0, 281, 13, 281, 0, 0, 281, 13, 282, 0, 0, 282, 13, 282, 0, 0, 282, 13, 283, 0, 0, 283, 13, 284, 0, 0, 284, 13, 285, 0, 0, 285, 13, 297, 0, 0, 297, 13, 304, 0, 0, 304,283, 282
32, 87, 1045, 0, 0, 1045, 87, 1067, 0, 0, 1067, 87, 1191, 0, 0, 1191, 87, 1191, 0, 0, 1191, 87, 1191, 0, 0, 1191, 87, 1191, 0, 0, 1191, 87, 1191, 0, 0, 1191, 87, 1191, 0, 0, 1191, 87, 1191, 0, 0, 1191, 87, 1191, 0, 0, 1191, 87, 1191, 0, 0, 1191, 87, 1191, 0, 0, 1191,1178, 1191
64, 484, 3977, 0, 0, 3977, 651, 3996, 0, 0, 3996, 491, 4007, 0, 0, 4007, 521, 4013, 0, 0, 4013, 379, 4030, 0, 0, 4030, 363, 4031, 0, 0, 4031, 393, 4032, 0, 0, 4032, 420, 4036, 0, 0, 4036, 458, 4041, 0, 0, 4041, 502, 4048, 0, 0, 4048, 475, 4050, 0, 0, 4050, 477, 4063, 0, 0, 4063,4028, 4032
