scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 10, 0, 0, 10, 0, 10, 0, 0, 11, 0, 10, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 12, 0, 0, 13, 0, 14, 0, 0, 15, 0, 14, 0, 0, 15, 1, 65, 2, 0, 67,12, 11
1, 0, 4, 0, 0, 5, 0, 4, 0, 0, 5, 0, 4, 0, 0, 5, 0, 4, 0, 0, 5, 0, 4, 0, 0, 5, 0, 4, 0, 0, 5, 0, 4, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 5, 0, 0, 5, 0, 7, 0, 0, 7, 0, 9, 0, 0, 10,5, 5
2, 0, 10, 0, 0, 11, 0, 11, 0, 0, 11, 0, 11, 0, 0, 11, 0, 20, 0, 0, 20, 0, 22, 0, 0, 22, 0, 22, 0, 0, 22, 0, 22, 0, 0, 23, 0, 22, 0, 0, 23, 0, 22, 0, 0, 23, 0, 22, 0, 0, 23, 0, 22, 0, 0, 23, 0, 28, 0, 0, 29,20, 23
4, 0, 7, 0, 0, 8, 0, 9, 0, 0, 10, 1, 15, 0, 0, 15, 1, 15, 0, 0, 16, 1, 15, 0, 0, 16, 0, 20, 0, 0, 21, 1, 30, 0, 0, 31, 1, 30, 0, 0, 31, 1, 30, 0, 0, 31, 0, 31, 0, 0, 31, 0, 32, 0, 0, 32, 0, 50, 0, 0, 50,23, 31
8, 2, 26, 0, 0, 27, 2, 26, 0, 0, 27, 2, 27, 0, 0, 28, 2, 28, 0, 0, 29, 2, 28, 0, 0, 29, 2, 30, 0, 0, 31, 2, 32, 0, 0, 33, 2, 33, 0, 0, 34, 2, 36, 0, 0, 37, 2, 36, 0, 0, 37, 2, 60, 0, 0, 60, 2, 69, 0, 0, 70,34, 33
16, 13, 82, 1, 0, 83, 13, 86, 1, 0, 87, 14, 86, 1, 0, 87, 13, 106, 1, 0, 107, 13, 109, 1, 0, 110, 13, 114, 1, 0, 115, 13, 116, 1, 0, 117, 13, 117, 1, 0, 118, 13, 119, 1, 0, 120, 13, 122, 1, 0, 123, 13, 127, 1, 0, 128, 13, 134, 1, 0, 135,111, 117
32, 87, 235, 2, 0, 237, 87, 250, 2, 0, 252, 87, 271, 2, 0, 273, 87, 301, 2, 0, 303, 87, 325, 2, 0, 327, 67, 326, 2, 0, 328, 87, 327, 2, 0, 329, 87, 328, 2, 0, 330, 87, 402, 2, 0, 404, 87, 403, 2, 0, 405, 87, 457, 2, 0, 459, 87, 627, 2, 0, 629,341, 329
64, 466, 1248, 5, 0, 1253, 465, 1255, 5, 0, 1260, 466, 1255, 5, 0, 1260, 389, 1309, 5, 0, 1314, 517, 1356, 5, 0, 1361, 515, 1357, 5, 0, 1362, 519, 1379, 5, 0, 1384, 517, 1391, 5, 0, 1396, 463, 1466, 5, 0, 1471, 492, 1469, 5, 0, 1474, 463, 1510, 5, 0, 1515, 465, 1515, 5, 0, 1520,1380, 1384
