scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 20, 1, 0, 22, 0, 20, 1, 0, 22, 0, 20, 1, 0, 22, 0, 20, 1, 0, 22, 0, 23, 1, 0, 24, 0, 24, 1, 0, 26, 0, 24, 1, 0, 26, 0, 26, 1, 0, 27, 0, 27, 1, 0, 28, 0, 30, 1, 0, 32, 0, 32, 1, 0, 33, 5, 91, 1, 0, 92,26, 26
1, 0, 10, 1, 0, 11, 0, 10, 1, 0, 11, 0, 12, 1, 0, 13, 0, 19, 1, 0, 20, 0, 19, 1, 0, 20, 0, 20, 1, 0, 21, 0, 23, 1, 0, 24, 0, 26, 1, 0, 28, 0, 27, 1, 0, 28, 0, 27, 1, 0, 28, 0, 28, 1, 0, 29, 0, 42, 1, 0, 43,22, 24
8, 7, 87, 1, 0, 88, 7, 98, 1, 0, 99, 7, 111, 1, 0, 112, 7, 111, 1, 0, 112, 7, 113, 1, 0, 114, 7, 116, 1, 0, 117, 7, 116, 1, 0, 117, 7, 122, 1, 0, 123, 7, 138, 1, 0, 139, 7, 158, 1, 0, 159, 7, 274, 1, 0, 275, 7, 288, 1, 0, 289,137, 117
16, 13, 164, 2, 0, 166, 13, 168, 2, 0, 170, 13, 169, 2, 0, 171, 13, 178, 2, 0, 180, 13, 179, 2, 0, 181, 13, 182, 2, 0, 184, 13, 225, 2, 0, 227, 12, 248, 2, 0, 251, 13, 385, 2, 0, 387, 13, 408, 2, 0, 410, 13, 439, 2, 0, 441, 13, 493, 2, 0, 495,260, 227
32, 29, 395, 2, 0, 397, 29, 398, 2, 0, 400, 26, 410, 2, 0, 412, 29, 413, 2, 0, 415, 29, 420, 2, 0, 422, 29, 436, 2, 0, 438, 29, 496, 2, 0, 498, 29, 532, 2, 0, 534, 29, 1122, 2, 0, 1124, 29, 1141, 2, 0, 1143, 29, 1181, 2, 0, 1183, 29, 1342, 2, 0, 1344,657, 498
64, 52, 385, 3, 0, 388, 52, 448, 3, 0, 451, 52, 723, 3, 0, 726, 52, 754, 3, 0, 757, 52, 788, 3, 0, 791, 52, 915, 3, 0, 918, 52, 959, 3, 0, 962, 52, 992, 3, 0, 995, 52, 1001, 3, 0, 1004, 52, 1046, 3, 0, 1049, 52, 1051, 3, 0, 1054, 50, 1236, 3, 0, 1239,871, 962
128, 119, 295, 6, 0, 301, 119, 496, 6, 0, 502, 119, 657, 6, 0, 663, 119, 693, 6, 0, 699, 119, 699, 6, 0, 705, 119, 816, 6, 0, 822, 119, 842, 6, 0, 848, 119, 863, 6, 0, 869, 119, 970, 6, 0, 976, 119, 1037, 6, 0, 1043, 119, 1211, 6, 0, 1217, 96, 2301, 6, 0, 2307,834, 848
256, 180, 3622, 10, 0, 3632, 216, 4388, 10, 0, 4398, 216, 4659, 10, 0, 4669, 216, 4771, 10, 0, 4781, 216, 4832, 10, 0, 4842, 216, 4923, 10, 0, 4933, 216, 4930, 10, 0, 4940, 216, 4993, 10, 0, 5003, 216, 4996, 10, 0, 5006, 216, 5003, 10, 0, 5013, 216, 5090, 10, 0, 5100, 216, 5170, 10, 0, 5180,4869, 4940
