scale, load 0 (MB), init 0 (MB), trafo 0 (MB), save 0 (MB), total 0 (MB), load 1 (MB), init 1 (MB), trafo 1 (MB), save 1 (MB), total 1 (MB), load 2 (MB), init 2 (MB), trafo 2 (MB), save 2 (MB), total 2 (MB), load 3 (MB), init 3 (MB), trafo 3 (MB), save 3 (MB), total 3 (MB), load 4 (MB), init 4 (MB), trafo 4 (MB), save 4 (MB), total 4 (MB), load 5 (MB), init 5 (MB), trafo 5 (MB), save 5 (MB), total 5 (MB), load 6 (MB), init 6 (MB), trafo 6 (MB), save 6 (MB), total 6 (MB), load 7 (MB), init 7 (MB), trafo 7 (MB), save 7 (MB), total 7 (MB), load 8 (MB), init 8 (MB), trafo 8 (MB), save 8 (MB), total 8 (MB), load 9 (MB), init 9 (MB), trafo 9 (MB), save 9 (MB), total 9 (MB), load 10 (MB), init 10 (MB), trafo 10 (MB), save 10 (MB), total 10 (MB), load 11 (MB), init 11 (MB), trafo 11 (MB), save 11 (MB), total 11 (MB), avg of inner 10 results (MB), median of inner 10 results (MB)
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 4, 0, 0, 4,1, 1
1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1,1, 1
8, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 2, 0, 0, 2, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7, 0, 7, 0, 0, 7,6, 7
16, 1, 4, 0, 0, 4, 1, 4, 0, 0, 4, 1, 4, 0, 0, 4, 1, 4, 0, 0, 4, 1, 5, 0, 0, 5, 1, 6, 0, 0, 6, 1, 6, 0, 0, 6, 1, 6, 0, 0, 6, 1, 6, 0, 0, 6, 1, 6, 0, 0, 6, 1, 8, 0, 0, 8, 1, 8, 0, 0, 8,6, 6
32, 2, 6, 0, 0, 6, 2, 10, 0, 0, 10, 2, 10, 0, 0, 10, 2, 11, 0, 0, 11, 2, 11, 0, 0, 11, 2, 11, 0, 0, 11, 2, 11, 0, 0, 11, 2, 11, 0, 0, 11, 2, 11, 0, 0, 11, 2, 11, 0, 0, 11, 2, 11, 0, 0, 11, 2, 11, 0, 0, 11,11, 11
64, 5, 22, 0, 0, 22, 5, 22, 0, 0, 22, 5, 22, 0, 0, 22, 5, 22, 0, 0, 22, 5, 22, 0, 0, 22, 5, 22, 0, 0, 22, 5, 22, 0, 0, 22, 5, 22, 0, 0, 22, 5, 22, 0, 0, 22, 5, 23, 0, 0, 23, 5, 26, 0, 0, 26, 5, 39, 0, 0, 39,23, 22
128, 11, 46, 0, 0, 46, 11, 47, 0, 0, 47, 11, 49, 0, 0, 49, 11, 49, 0, 0, 49, 11, 49, 0, 0, 49, 11, 49, 0, 0, 49, 11, 49, 0, 0, 49, 11, 49, 0, 0, 49, 11, 49, 0, 0, 49, 11, 49, 0, 0, 49, 11, 49, 0, 0, 49, 11, 49, 0, 0, 49,49, 49
256, 22, 38, 0, 0, 38, 22, 40, 0, 0, 40, 22, 44, 0, 0, 44, 22, 47, 0, 0, 47, 22, 48, 0, 0, 48, 22, 49, 0, 0, 49, 22, 57, 0, 0, 57, 22, 57, 0, 0, 57, 22, 59, 0, 0, 59, 22, 88, 0, 0, 88, 22, 89, 0, 0, 89, 22, 90, 0, 0, 90,58, 57
512, 45, 77, 0, 0, 77, 45, 87, 0, 0, 87, 45, 88, 0, 0, 88, 45, 91, 0, 0, 91, 45, 97, 0, 0, 97, 45, 98, 0, 0, 98, 45, 106, 0, 0, 106, 45, 113, 0, 0, 113, 45, 115, 0, 0, 115, 45, 140, 0, 0, 140, 45, 147, 0, 0, 147, 45, 149, 0, 0, 149,108, 106
1024, 92, 185, 0, 0, 185, 92, 185, 0, 0, 185, 92, 189, 0, 0, 189, 92, 190, 0, 0, 190, 92, 191, 0, 0, 191, 92, 191, 0, 0, 191, 92, 192, 0, 0, 192, 92, 193, 0, 0, 193, 92, 193, 0, 0, 193, 92, 193, 0, 0, 193, 92, 195, 0, 0, 195, 48, 255, 0, 0, 255,191, 192
